month,year,fips_state_county_code,population,date,grand_total_arrests,grand_total_black,grand_total_white,grand_total_asian,grand_total_amer_ind,grand_total_male,grand_total_female,arrest_rate_gt_arrests,arrest_rate_gt_black,arrest_rate_gt_white,arrest_rate_gt_asian,arrest_rate_gt_amer_ind,arrest_rate_gt_male,arrest_rate_gt_female,post_treatment,treatment
April,2019,08001,466854,2019-04-01,195,27,166,0,1,127,68,41.768947036975156,5.783392666658099,35.55715491352757,0.0,0.2141997283947444,27.203365506132535,14.56558153084262,0,0
April,2019,08013,317073,2019-04-01,107,7,100,0,0,91,16,33.74617201716955,2.2076934964503443,31.538478520719206,0.0,0.0,28.700015453854476,5.046156563315073,0,0
April,2019,08014,70798,2019-04-01,20,0,20,0,0,11,9,28.249385575863727,0.0,28.249385575863727,0.0,0.0,15.537162066725049,12.712223509138676,0,0
April,2019,08031,728941,2019-04-01,516,148,360,3,5,413,103,70.787622043485,20.303426477588722,49.38671305359419,0.4115559421132849,0.6859265701888082,56.65753469759555,14.130087345889448,0,1
April,2019,08041,722447,2019-04-01,457,117,331,6,3,324,133,63.25723547886558,16.194959630256616,45.81650972320461,0.8305107502695699,0.41525537513478494,44.847580514556775,18.4096549643088,0,0
April,2020,08001,470626,2020-04-01,151,7,140,1,2,118,33,32.08492518475393,1.4873806377038241,29.747612754076485,0.21248294824340344,0.4249658964868069,25.07298789272161,7.011937292032314,0,0
April,2020,08013,315516,2020-04-01,112,12,97,1,2,96,16,35.49740742149368,3.8032936523028944,30.74329035611506,0.31694113769190785,0.6338822753838157,30.426349218423155,5.071058203070526,0,0
April,2020,08014,71795,2020-04-01,13,0,13,0,0,9,4,18.107110523016924,0.0,18.107110523016924,0.0,0.0,12.535691900550177,5.571418622466746,0,0
April,2020,08031,737709,2020-04-01,511,154,347,5,5,411,100,69.26850560315789,20.875440044787307,47.03751750351426,0.6777740274281593,0.6777740274281593,55.7130250545947,13.555480548563185,0,1
April,2020,08041,726916,2020-04-01,368,84,277,3,3,273,95,50.624831479840864,11.555668055181068,38.10619108672804,0.412702430542181,0.412702430542181,37.55592117933847,13.068910300502397,0,0
August,2019,08001,466854,2019-08-01,228,20,207,1,0,168,60,48.83753807400172,4.283994567894888,44.33934377771209,0.2141997283947444,0.0,35.98555437031706,12.851983703684663,0,0
August,2019,08013,317073,2019-08-01,137,6,128,2,1,106,31,43.20771557338531,1.892308711243152,40.36925250652058,0.6307695704143841,0.31538478520719204,33.430787231962356,9.776928341422954,0,0
August,2019,08014,70798,2019-08-01,19,1,14,3,1,11,8,26.836916297070537,1.4124692787931863,19.77456990310461,4.237407836379559,1.4124692787931863,15.537162066725049,11.29975423034549,0,0
August,2019,08031,728941,2019-08-01,635,227,399,2,7,480,155,87.11267441397862,31.14106628657189,54.736940301066895,0.27437062807552326,0.9602971982643314,65.84895073812558,21.263723675853054,0,1
August,2019,08041,722447,2019-08-01,398,82,310,5,1,276,122,55.090546434548145,11.350313587017455,42.90972209726111,0.6920922918913084,0.13841845837826167,38.20349451240022,16.887051922147922,0,0
August,2020,08001,470626,2020-08-01,204,21,177,3,2,150,54,43.34652144165431,4.462141913111473,37.60948183908241,0.6374488447302105,0.4249658964868069,31.87244223651052,11.474079205143786,1,0
August,2020,08013,315516,2020-08-01,154,6,142,5,1,114,40,48.80893520455381,1.9016468261514472,45.005641552250914,1.5847056884595392,0.31694113769190785,36.131289696877495,12.677645507676313,1,0
