month,DATA_YEAR,fips,OFFENSE_CATEGORY_NAME,violent_crime,crime_count,population,crime_rate
APR,2019,08001,Animal Cruelty,1,12,466854,2.570396740736933
APR,2019,08001,Arson,1,3,466854,0.6425991851842332
APR,2019,08001,Assault Offenses,1,357,466854,76.46930303692375
APR,2019,08001,Burglary/Breaking & Entering,1,111,466854,23.77616985181663
APR,2019,08001,Counterfeiting/Forgery,0,38,466854,8.139589679000286
APR,2019,08001,Counterfeiting/Forgery,1,0,466854,0.0
APR,2019,08001,Destruction/Damage/Vandalism of Property,0,251,466854,53.76413182708084
APR,2019,08001,Destruction/Damage/Vandalism of Property,1,28,466854,5.997592395052843
APR,2019,08001,Drug/Narcotic Offenses,0,275,466854,58.90492530855471
APR,2019,08001,Drug/Narcotic Offenses,1,1,466854,0.2141997283947444
APR,2019,08001,Embezzlement,0,4,466854,0.8567989135789776
APR,2019,08001,Extortion/Blackmail,0,5,466854,1.070998641973722
APR,2019,08001,Fraud Offenses,0,134,466854,28.70276360489575
APR,2019,08001,Fraud Offenses,1,1,466854,0.2141997283947444
APR,2019,08001,Homicide Offenses,1,2,466854,0.4283994567894888
APR,2019,08001,Human Trafficking,1,0,466854,0.0
APR,2019,08001,Kidnapping/Abduction,1,11,466854,2.3561970123421885
APR,2019,08001,Larceny/Theft Offenses,0,781,466854,167.28998787629538
APR,2019,08001,Larceny/Theft Offenses,1,7,466854,1.4993980987632107
APR,2019,08001,Motor Vehicle Theft,0,226,466854,48.409138617212236
APR,2019,08001,Motor Vehicle Theft,1,1,466854,0.2141997283947444
APR,2019,08001,Pornography/Obscene Material,0,8,466854,1.7135978271579553
APR,2019,08001,Prostitution Offenses,0,1,466854,0.2141997283947444
APR,2019,08001,Robbery,1,20,466854,4.283994567894888
APR,2019,08001,Sex Offenses,1,61,466854,13.066183432079407
APR,2019,08001,"Sex Offenses, Non-forcible",1,3,466854,0.6425991851842332
APR,2019,08001,Stolen Property Offenses,0,16,466854,3.4271956543159106
APR,2019,08001,Weapon Law Violations,0,32,466854,6.854391308631821
APR,2019,08001,Weapon Law Violations,1,5,466854,1.070998641973722
APR,2019,08005,Animal Cruelty,1,2,658643,0.3036546353639225
APR,2019,08005,Arson,1,8,658643,1.21461854145569
APR,2019,08005,Assault Offenses,1,638,658643,96.86582868109127
APR,2019,08005,Burglary/Breaking & Entering,1,148,658643,22.470443016930265
APR,2019,08005,Counterfeiting/Forgery,0,42,658643,6.376747342642371
APR,2019,08005,Counterfeiting/Forgery,1,1,658643,0.15182731768196125
APR,2019,08005,Destruction/Damage/Vandalism of Property,0,355,658643,53.89869777709624
APR,2019,08005,Destruction/Damage/Vandalism of Property,1,35,658643,5.313956118868644
APR,2019,08005,Drug/Narcotic Offenses,0,197,658643,29.909981583346365
APR,2019,08005,Drug/Narcotic Offenses,1,5,658643,0.7591365884098062
APR,2019,08005,Embezzlement,0,13,658643,1.9737551298654963
APR,2019,08005,Extortion/Blackmail,0,1,658643,0.15182731768196125
APR,2019,08005,Fraud Offenses,0,215,658643,32.64287330162166
APR,2019,08005,Fraud Offenses,1,2,658643,0.3036546353639225
APR,2019,08005,Homicide Offenses,1,5,658643,0.7591365884098062
APR,2019,08005,Human Trafficking,1,0,658643,0.0
APR,2019,08005,Kidnapping/Abduction,1,4,658643,0.607309270727845
APR,2019,08005,Larceny/Theft Offenses,0,1057,658643,160.48147478983302
APR,2019,08005,Larceny/Theft Offenses,1,13,658643,1.9737551298654963
APR,2019,08005,Motor Vehicle Theft,0,260,658643,39.47510259730993
APR,2019,08005,Motor Vehicle Theft,1,7,658643,1.0627912237737287
APR,2019,08005,Pornography/Obscene Material,0,17,658643,2.581064400593341
APR,2019,08005,Pornography/Obscene Material,1,2,658643,0.3036546353639225
APR,2019,08005,Prostitution Offenses,0,2,658643,0.3036546353639225
APR,2019,08005,Prostitution Offenses,1,1,658643,0.15182731768196125
APR,2019,08005,Robbery,1,62,658643,9.413293696281597
APR,2019,08005,Sex Offenses,1,67,658643,10.172430284691403
APR,2019,08005,"Sex Offenses, Non-forcible",1,5,658643,0.7591365884098062
APR,2019,08005,Stolen Property Offenses,0,19,658643,2.8847190359572634
APR,2019,08005,Stolen Property Offenses,1,0,658643,0.0
APR,2019,08005,Weapon Law Violations,0,37,658643,5.617610754232566
APR,2019,08005,Weapon Law Violations,1,6,658643,0.9109639060917675
APR,2019,08013,Animal Cruelty,1,23,317073,7.2538500597654165
APR,2019,08013,Arson,1,7,317073,2.2076934964503443
APR,2019,08013,Assault Offenses,1,152,317073,47.93848735149319
APR,2019,08013,Burglary/Breaking & Entering,1,47,317073,14.823084904738026
APR,2019,08013,Counterfeiting/Forgery,0,24,317073,7.569234844972608
APR,2019,08013,Destruction/Damage/Vandalism of Property,0,158,317073,49.83079606273634
APR,2019,08013,Destruction/Damage/Vandalism of Property,1,19,317073,5.992310918936648
APR,2019,08013,Drug/Narcotic Offenses,0,96,317073,30.276939379890432
APR,2019,08013,Drug/Narcotic Offenses,1,5,317073,1.5769239260359602
APR,2019,08013,Extortion/Blackmail,0,8,317073,2.5230782816575363
APR,2019,08013,Fraud Offenses,0,80,317073,25.230782816575363
APR,2019,08013,Fraud Offenses,1,1,317073,0.31538478520719204
APR,2019,08013,Kidnapping/Abduction,1,6,317073,1.892308711243152
APR,2019,08013,Larceny/Theft Offenses,0,429,317073,135.30007285388538
APR,2019,08013,Larceny/Theft Offenses,1,2,317073,0.6307695704143841
APR,2019,08013,Motor Vehicle Theft,0,70,317073,22.07693496450344
APR,2019,08013,Motor Vehicle Theft,1,0,317073,0.0
APR,2019,08013,Pornography/Obscene Material,0,3,317073,0.946154355621576
APR,2019,08013,Pornography/Obscene Material,1,0,317073,0.0
APR,2019,08013,Prostitution Offenses,1,0,317073,0.0
APR,2019,08013,Robbery,1,5,317073,1.5769239260359602
APR,2019,08013,Sex Offenses,1,24,317073,7.569234844972608
APR,2019,08013,"Sex Offenses, Non-forcible",1,1,317073,0.31538478520719204
APR,2019,08013,Stolen Property Offenses,0,2,317073,0.6307695704143841
APR,2019,08013,Weapon Law Violations,0,8,317073,2.5230782816575363
APR,2019,08013,Weapon Law Violations,1,1,317073,0.31538478520719204
APR,2019,08014,Assault Offenses,1,17,70798,24.011977739484166
APR,2019,08014,Burglary/Breaking & Entering,1,5,70798,7.062346393965932
APR,2019,08014,Counterfeiting/Forgery,0,4,70798,5.649877115172745
APR,2019,08014,Destruction/Damage/Vandalism of Property,0,26,70798,36.72420124862284
APR,2019,08014,Destruction/Damage/Vandalism of Property,1,1,70798,1.4124692787931863
APR,2019,08014,Drug/Narcotic Offenses,0,25,70798,35.31173196982966
APR,2019,08014,Extortion/Blackmail,0,1,70798,1.4124692787931863
APR,2019,08014,Fraud Offenses,0,18,70798,25.424447018277352
APR,2019,08014,Fraud Offenses,1,0,70798,0.0
APR,2019,08014,Kidnapping/Abduction,1,1,70798,1.4124692787931863
APR,2019,08014,Larceny/Theft Offenses,0,131,70798,185.0334755219074
APR,2019,08014,Larceny/Theft Offenses,1,2,70798,2.8249385575863726
APR,2019,08014,Motor Vehicle Theft,0,9,70798,12.712223509138676
APR,2019,08014,Pornography/Obscene Material,0,1,70798,1.4124692787931863
APR,2019,08014,Robbery,1,2,70798,2.8249385575863726
APR,2019,08014,Sex Offenses,1,2,70798,2.8249385575863726
APR,2019,08014,Stolen Property Offenses,0,0,70798,0.0
APR,2019,08014,Weapon Law Violations,0,0,70798,0.0
APR,2019,08031,Animal Cruelty,1,2,728941,0.27437062807552326
APR,2019,08031,Arson,1,17,728941,2.3321503386419478
APR,2019,08031,Assault Offenses,1,683,728941,93.69756948779118
APR,2019,08031,Bribery,0,1,728941,0.13718531403776163
APR,2019,08031,Bribery,1,0,728941,0.0
APR,2019,08031,Burglary/Breaking & Entering,1,286,728941,39.23499981479982
APR,2019,08031,Counterfeiting/Forgery,0,26,728941,3.566818164981802
APR,2019,08031,Destruction/Damage/Vandalism of Property,0,446,728941,61.18465006084169
APR,2019,08031,Destruction/Damage/Vandalism of Property,1,14,728941,1.9205943965286627
APR,2019,08031,Drug/Narcotic Offenses,0,401,728941,55.01131092914242
APR,2019,08031,Drug/Narcotic Offenses,1,4,728941,0.5487412561510465
APR,2019,08031,Embezzlement,0,2,728941,0.27437062807552326
APR,2019,08031,Extortion/Blackmail,0,1,728941,0.13718531403776163
APR,2019,08031,Fraud Offenses,0,104,728941,14.267272659927208
APR,2019,08031,Fraud Offenses,1,2,728941,0.27437062807552326
APR,2019,08031,Gambling Offenses,0,1,728941,0.13718531403776163
APR,2019,08031,Homicide Offenses,1,4,728941,0.5487412561510465
APR,2019,08031,Kidnapping/Abduction,1,17,728941,2.3321503386419478
APR,2019,08031,Larceny/Theft Offenses,0,1347,728941,184.78861800886492
APR,2019,08031,Larceny/Theft Offenses,1,6,728941,0.8231118842265698
APR,2019,08031,Motor Vehicle Theft,0,400,728941,54.87412561510465
APR,2019,08031,Motor Vehicle Theft,1,1,728941,0.13718531403776163
APR,2019,08031,Pornography/Obscene Material,0,8,728941,1.097482512302093
APR,2019,08031,Prostitution Offenses,0,20,728941,2.743706280755233
APR,2019,08031,Robbery,1,94,728941,12.895419519549595
APR,2019,08031,Sex Offenses,1,100,728941,13.718531403776163
APR,2019,08031,"Sex Offenses, Non-forcible",1,2,728941,0.27437062807552326
APR,2019,08031,Stolen Property Offenses,0,34,728941,4.6643006772838955
APR,2019,08031,Stolen Property Offenses,1,1,728941,0.13718531403776163
APR,2019,08031,Weapon Law Violations,0,117,728941,16.05068174241811
APR,2019,08031,Weapon Law Violations,1,1,728941,0.13718531403776163
APR,2019,08035,Arson,1,4,346845,1.1532528939439808
APR,2019,08035,Assault Offenses,1,97,346845,27.966382678141535
APR,2019,08035,Burglary/Breaking & Entering,1,38,346845,10.955902492467816
APR,2019,08035,Counterfeiting/Forgery,0,20,346845,5.7662644697199035
APR,2019,08035,Destruction/Damage/Vandalism of Property,0,74,346845,21.335178537963642
APR,2019,08035,Destruction/Damage/Vandalism of Property,1,10,346845,2.8831322348599517
APR,2019,08035,Drug/Narcotic Offenses,0,59,346845,17.010480185673714
APR,2019,08035,Drug/Narcotic Offenses,1,1,346845,0.2883132234859952
APR,2019,08035,Embezzlement,0,1,346845,0.2883132234859952
APR,2019,08035,Extortion/Blackmail,0,3,346845,0.8649396704579856
APR,2019,08035,Fraud Offenses,0,99,346845,28.54300912511352
APR,2019,08035,Fraud Offenses,1,2,346845,0.5766264469719904
APR,2019,08035,Kidnapping/Abduction,1,3,346845,0.8649396704579856
APR,2019,08035,Larceny/Theft Offenses,0,252,346845,72.65493231847078
APR,2019,08035,Larceny/Theft Offenses,1,8,346845,2.3065057878879616
APR,2019,08035,Motor Vehicle Theft,0,19,346845,5.477951246233908
APR,2019,08035,Motor Vehicle Theft,1,1,346845,0.2883132234859952
APR,2019,08035,Pornography/Obscene Material,0,3,346845,0.8649396704579856
APR,2019,08035,Robbery,1,2,346845,0.5766264469719904
APR,2019,08035,Sex Offenses,1,15,346845,4.324698352289928
APR,2019,08035,Stolen Property Offenses,0,3,346845,0.8649396704579856
APR,2019,08035,Stolen Property Offenses,1,0,346845,0.0
APR,2019,08035,Weapon Law Violations,0,5,346845,1.4415661174299759
APR,2019,08035,Weapon Law Violations,1,2,346845,0.5766264469719904
APR,2019,08059,Animal Cruelty,1,2,536249,0.37296106845886895
APR,2019,08059,Assault Offenses,1,157,536249,29.277443874021213
APR,2019,08059,Burglary/Breaking & Entering,1,46,536249,8.578104574553985
APR,2019,08059,Counterfeiting/Forgery,0,16,536249,2.9836885476709516
APR,2019,08059,Destruction/Damage/Vandalism of Property,0,133,536249,24.801911052514782
APR,2019,08059,Destruction/Damage/Vandalism of Property,1,14,536249,2.6107274792120823
APR,2019,08059,Drug/Narcotic Offenses,0,111,536249,20.699339299467226
APR,2019,08059,Drug/Narcotic Offenses,1,0,536249,0.0
APR,2019,08059,Embezzlement,0,1,536249,0.18648053422943447
APR,2019,08059,Extortion/Blackmail,0,4,536249,0.7459221369177379
APR,2019,08059,Fraud Offenses,0,95,536249,17.715650751796275
APR,2019,08059,Kidnapping/Abduction,1,6,536249,1.118883205376607
APR,2019,08059,Larceny/Theft Offenses,0,479,536249,89.3241758958991
APR,2019,08059,Larceny/Theft Offenses,1,5,536249,0.9324026711471722
APR,2019,08059,Motor Vehicle Theft,0,52,536249,9.696987779930593
APR,2019,08059,Motor Vehicle Theft,1,0,536249,0.0
APR,2019,08059,Pornography/Obscene Material,0,8,536249,1.4918442738354758
APR,2019,08059,Robbery,1,7,536249,1.3053637396060411
APR,2019,08059,Sex Offenses,1,25,536249,4.662013355735862
APR,2019,08059,"Sex Offenses, Non-forcible",1,1,536249,0.18648053422943447
APR,2019,08059,Stolen Property Offenses,0,6,536249,1.118883205376607
APR,2019,08059,Weapon Law Violations,0,11,536249,2.051285876523779
APR,2019,08059,Weapon Law Violations,1,0,536249,0.0
APR,2020,08001,Animal Cruelty,1,3,470626,0.6374488447302105
APR,2020,08001,Arson,1,9,470626,1.9123465341906312
APR,2020,08001,Assault Offenses,1,268,470626,56.945430129232136
APR,2020,08001,Burglary/Breaking & Entering,1,126,470626,26.772851478668837
APR,2020,08001,Counterfeiting/Forgery,0,25,470626,5.312073706085087
APR,2020,08001,Destruction/Damage/Vandalism of Property,0,283,470626,60.132674352883186
APR,2020,08001,Destruction/Damage/Vandalism of Property,1,42,470626,8.924283826222945
APR,2020,08001,Drug/Narcotic Offenses,0,123,470626,26.13540263393863
APR,2020,08001,Drug/Narcotic Offenses,1,2,470626,0.4249658964868069
APR,2020,08001,Embezzlement,0,2,470626,0.4249658964868069
APR,2020,08001,Extortion/Blackmail,0,12,470626,2.549795378920842
APR,2020,08001,Fraud Offenses,0,148,470626,31.447476340023716
APR,2020,08001,Fraud Offenses,1,5,470626,1.0624147412170173
APR,2020,08001,Homicide Offenses,1,3,470626,0.6374488447302105
APR,2020,08001,Kidnapping/Abduction,1,5,470626,1.0624147412170173
APR,2020,08001,Larceny/Theft Offenses,0,775,470626,164.6742848886377
APR,2020,08001,Larceny/Theft Offenses,1,13,470626,2.762278327164245
APR,2020,08001,Motor Vehicle Theft,0,283,470626,60.132674352883186
APR,2020,08001,Motor Vehicle Theft,1,4,470626,0.8499317929736138
APR,2020,08001,Pornography/Obscene Material,0,8,470626,1.6998635859472275
APR,2020,08001,Robbery,1,15,470626,3.1872442236510525
APR,2020,08001,Sex Offenses,1,33,470626,7.011937292032314
APR,2020,08001,"Sex Offenses, Non-forcible",1,1,470626,0.21248294824340344
APR,2020,08001,Stolen Property Offenses,0,18,470626,3.8246930683812623
