date,treatment,post_treatment,grand_total_arrests,grand_total_black,grand_total_white,grand_total_asian,grand_total_amer_ind,grand_total_male,grand_total_female,population,arrest_rate_gt_arrests,arrest_rate_gt_black,arrest_rate_gt_white,arrest_rate_gt_asian,arrest_rate_gt_amer_ind,arrest_rate_gt_male,arrest_rate_gt_female
2019-01-01,0,0,3811,214,3538,42,16,2669,1142,783927,486.14220456751707,27.298460188257323,451.31753339277765,5.35764171919069,2.041006369215501,340.46537496476077,145.67682960275638
2019-01-01,1,0,3194,727,2413,22,31,2383,811,728941,438.16989303661063,99.73372330545271,331.0281627731188,3.0180769088307557,4.2527447351706105,326.9126033519859,111.25728968462468
2019-02-01,0,0,3318,214,3049,45,9,2264,1054,783927,423.25369581606446,27.298460188257323,388.9392762336289,5.740330413418596,1.1480660826837192,288.8024012439934,134.45129457207113
2019-02-01,1,0,2955,615,2295,22,23,2093,862,728941,405.38260298158565,84.3689681332234,314.840295716663,3.0180769088307557,3.1552622228685174,287.1288622810351,118.25374070055052
2019-03-01,0,0,3642,228,3362,46,5,2574,1068,783927,464.5840747926784,29.084340761320885,428.86646333140715,5.867893311494565,0.6378144903798441,328.3468996475437,136.2371751451347
2019-03-01,1,0,3058,568,2408,31,46,2225,833,728941,419.51269032747507,77.92125837344861,330.34223620293,4.2527447351706105,6.310524445737035,305.23732373401964,114.27536659345543
2019-04-01,0,0,3729,231,3455,33,10,2550,1179,783927,475.6820469252877,29.467029455548793,440.72981285247226,4.209575636506971,1.2756289807596881,325.2853900937205,150.39665683156724
2019-04-01,1,0,3227,645,2506,28,44,2412,815,728941,442.6970083998568,88.48452755435625,343.78639697863065,3.8411887930573254,6.0361538176615115,330.89097745908106,111.80603094077574
2019-05-01,0,0,3785,204,3526,45,13,2589,1196,783927,482.82556921754195,26.022831207497635,449.786778615866,5.740330413418596,1.6583176749875945,330.26034311868324,152.56522609885872
2019-05-01,1,0,3307,591,2640,39,36,2463,844,728941,453.67183352287776,81.07652059631712,362.1692290596907,5.350227247472704,4.938671305359419,337.8874284750069,115.7844050478708
2019-06-01,0,0,3509,227,3243,30,7,2422,1087,783927,447.61820934857457,28.956777863244923,413.6864784603668,3.8268869422790646,0.8929402865317817,308.95733913999646,138.6608702085781
2019-06-01,1,0,3078,659,2364,23,31,2305,773,728941,422.2563966082303,90.40512195088492,324.3060823852685,3.1552622228685174,4.2527447351706105,316.2121488570405,106.04424775118974
2019-07-01,0,0,3973,213,3721,27,11,2802,1171,783927,506.8073940558241,27.170897290181355,474.6615437406799,3.4441982480511575,1.403191878835657,357.4312404088646,149.37615364695947
2019-07-01,1,0,3291,687,2537,18,48,2461,830,728941,451.4768684982735,94.24631074394225,348.03914171380126,2.4693356526797094,6.584895073812558,337.6130578469314,113.86381065134215
2019-08-01,0,0,4325,255,4011,53,4,3051,1274,783927,551.709534178565,32.52853900937205,511.6547841827109,6.760833598026347,0.5102515923038753,389.1944020297808,162.51513214878426
2019-08-01,1,0,3468,716,2669,30,49,2545,923,728941,475.75866908295734,98.22468485103732,366.1476031667858,4.115559421132849,6.72208038785032,349.1366242261033,126.62204485685399
2019-09-01,0,0,4040,273,3697,48,22,2781,1259,783927,515.3541082269139,34.824671174739485,471.6000341868567,6.123019107646503,2.806383757671314,354.75241954926923,160.60168867764472
2019-09-01,1,0,3071,711,2310,18,28,2292,779,728941,421.2960994099659,97.53875828084851,316.89807542722934,2.4693356526797094,3.8411887930573254,314.4287397745497,106.8673596354163
2019-10-01,0,0,3724,249,3417,44,12,2651,1073,783927,475.0442324349078,31.763161620916232,435.8824227255854,5.612767515342628,1.5307547769116256,338.1692427993933,136.87498963551454
2019-10-01,1,0,2980,668,2247,32,32,2185,795,728941,408.8122358325297,91.63978977722478,308.2554006428504,4.389930049208372,4.389930049208372,299.74991117250914,109.0623246600205
2019-11-01,0,0,3401,198,3158,37,8,2406,995,783927,433.84141635636996,25.25745381904182,402.8436321239095,4.719827228810846,1.0205031846077506,306.91633277078097,126.92508358558896
2019-11-01,1,0,2735,532,2156,20,22,2048,687,728941,375.20183389327804,72.98258706808919,295.77153706541407,2.743706280755233,3.0180769088307557,280.9555231493358,94.24631074394225
2019-12-01,0,0,3199,208,2960,27,4,2298,901,783927,408.07371094502423,26.533082799801512,377.5861783048677,3.4441982480511575,0.5102515923038753,293.13953977857636,114.9341711664479
2019-12-01,1,0,2777,605,2121,26,23,2020,757,728941,380.96361708286406,82.99711499284578,290.97005107409245,3.566818164981802,3.1552622228685174,277.1143343562785,103.84928272658554
2020-01-01,0,0,3704,242,3397,52,11,2651,1053,786142,471.1616985226588,30.78324272205276,432.11022944964145,6.614581080771667,1.3992383055478528,337.2164316370325,133.94526688562627
2020-01-01,1,0,3402,750,2579,19,51,2506,896,737709,461.1574482621196,101.6661041142239,349.5958433474446,2.5755413042270052,6.9132950797672255,339.70034254699345,121.45710571512616
2020-02-01,0,0,3163,204,2923,29,8,2240,923,786142,402.3446145861689,25.949510393796537,371.8157788287612,3.68890098735343,1.0176278585802565,284.93580040247184,117.4088141836971
2020-02-01,1,0,2892,676,2157,22,35,2146,746,737709,392.02449746444734,91.63504850828714,292.39171543250797,2.982205720683901,4.744418191997116,290.900612572166,101.12388489228138
2020-03-01,0,0,2623,202,2382,24,15,1914,709,786142,333.65473413200164,25.695103429151477,302.9986948922714,3.0528835757407693,1.9080522348379807,243.4674651653264,90.18726896667523
2020-03-01,1,0,2356,455,1864,16,19,1772,584,737709,319.36712172414866,61.677436495962496,252.67415742521777,2.16887688777011,2.5755413042270052,240.20311532053964,79.16400640360902
2020-04-01,0,0,1421,121,1268,18,14,1066,355,786142,180.75614838031805,15.39162136102638,161.29401558497065,2.289662681805577,1.780848752515449,135.5989121558192,45.15723622449888
2020-04-01,1,0,1580,328,1226,15,10,1244,336,737709,214.17659266729834,44.46197619928726,166.19019152538468,2.033322082284478,1.3555480548563186,168.63017802412602,45.546414643172305
2020-05-01,0,0,2093,128,1934,14,16,1554,539,786142,266.2368885010596,16.282045737284104,246.011534811777,1.780848752515449,2.035255717160513,197.67421152921483,68.56267697184478
2020-05-01,1,0,2386,462,1865,28,28,1846,540,737709,323.43376588871763,62.626320134361926,252.80971223070344,3.7955345535976925,3.7955345535976925,250.23417092647645,73.1995949622412
2020-06-01,0,1,1793,115,1658,9,6,1284,509,786142,228.07584380429998,14.628400467091188,210.90337369075814,1.1448313409027886,0.7632208939351923,163.32927130213116,64.74657250216882
2020-06-01,1,1,1693,233,1416,22,20,1281,412,737709,229.49428568717474,31.58426967815222,191.94560456765473,2.982205720683901,2.711096109712637,173.64570582709445,55.84857986008033
2020-07-01,0,1,2070,134,1923,9,4,1538,532,786142,263.3112084076414,17.0452666312193,244.61229650622917,1.1448313409027886,0.5088139292901283,195.6389558120543,67.67225259558705
2020-07-01,1,1,1715,338,1351,10,16,1275,440,737709,232.47649140785867,45.81752425414357,183.13454221108864,1.3555480548563186,2.16887688777011,172.83237699418063,59.644114413678025
2020-08-01,0,1,2175,140,2011,15,9,1635,540,786142,276.6675740515072,17.80848752515449,255.80620295061195,1.9080522348379807,1.1448313409027886,207.97769359733994,68.68988045416731
2020-08-01,1,1,1883,361,1494,15,12,1384,499,737709,255.24969872944482,48.935284780313104,202.51887939553401,2.033322082284478,1.6266576658275824,187.6078507921145,67.6418479373303
2020-09-01,0,1,2252,130,2087,28,7,1655,597,786142,286.46224219034224,16.536452701929168,265.4736676071244,3.561697505030898,0.8904243762577245,210.5217632437906,75.94047894655164
2020-09-01,1,1,1838,388,1418,20,10,1399,439,737709,249.14973248259136,52.59526452842517,192.21671417862598,2.711096109712637,1.3555480548563186,189.641172874399,59.50855960819239
2020-10-01,0,1,2115,121,1956,21,13,1575,540,786142,269.0353651121553,15.39162136102638,248.81001142287272,2.6712731287731732,1.6536452701929167,200.345484657988,68.68988045416731
2020-10-01,1,1,1917,361,1516,20,19,1440,477,737709,259.8585621159563,48.935284780313104,205.50108511621792,2.711096109712637,2.5755413042270052,195.19891989930989,64.6596422166464
2020-11-01,0,1,1748,121,1598,22,6,1310,438,786142,222.35168709978603,15.39162136102638,203.27116475140622,2.7984766110957056,0.7632208939351923,166.63656184251698,55.71512525726904
2020-11-01,1,1,1541,246,1270,11,13,1155,386,737709,208.8899552533587,33.34648214946544,172.15460296675246,1.4911028603419505,1.7622124713132143,156.5658003359048,52.324154917453896
2020-12-01,0,1,1501,85,1399,11,5,1119,382,786142,190.93242696612063,10.812295997415225,177.95767176922234,1.3992383055478528,0.6360174116126602,142.3406967189134,48.59173024720725
2020-12-01,1,1,1883,308,1523,22,29,1435,448,737709,255.24969872944482,41.750880089574615,206.44996875461732,2.982205720683901,3.931089359083324,194.52114587188174,60.72855285756308
